"fips","pop_density","prop_gen_hosts","treediversity_specrich_total","MEAN_MAT","MEAN_MAP","height_difference_NHminH","diameter_difference_NHminH","diameter_cv_t_difference_NHminH","height_cv_t_difference_NHminH","generalist_count","lat","US_L3NAME","broad_group","s_prop_gen_hosts","s_diameter_cv_diff","s_height_cv_diff","s_height_mean_diff","s_diameter_mean_diff","s_pop_density","s_MEAN_MAP","s_MEAN_MAT","s_tree_div","temp_bin"
"01103",79.49711788,0.833672431332655,59,15.45150345,1455.810526,-1272.86236713696,0.413851651612119,74.5851751959353,49.941064312369,3,34.45514922,"Interior Plateau","Oak / hickory group",0.61568756130701,0.265548750451305,0.303924790797386,-0.208309922669412,-0.184301748262792,0.00325804087870203,1.26155851084653,0.674544310522148,1.74348506102252,"High"
"01105",4.884287348,0.918367346938776,60,17.34238524,1410.735849,-1285.41722967492,0.350525651611034,97.9821749348788,54.37582584637,2,32.6404135,"Southeastern Plains","White / red / jack pine group",1.11252227154227,1.07897601707185,0.639148782113137,-0.235918840842743,-0.761108316977152,-0.222934638012597,1.12210711710421,1.11356572798499,1.80964560670984,"High"
"01107",8.782500556,0.894140905823149,56,16.67805056,1448.242424,-1226.57055243978,0.331653514173455,101.596003646493,58.4179240469746,1,33.28082805,"Southeastern Plains","White / red / jack pine group",0.97040586743968,1.20461549408695,0.944691319565972,-0.106511362931688,-0.9330056867698,-0.211117001794805,1.23814442466497,0.959321737469156,1.54500342396058,"High"
"01109",19.11589839,0.864347826086956,54,18.03359042,1373.457447,-1397.03862384035,0.298925865478835,90.7692228782009,50.153270386098,2,31.80413807,"Southeastern Plains","White / red / jack pine group",0.795634618990882,0.828208314323931,0.319965465469853,-0.481381180919242,-1.23110635229911,-0.179790768471978,1.00677572792118,1.27404846121881,1.41268233258595,"High"
"01111",15.11819796,0.878721403948605,43,15.99151626,1440.085366,-1295.57031808587,0.282972282762668,116.62243365947,60.8403876236403,1,33.29523169,"Piedmont","White / red / jack pine group",0.879952459569971,1.72702896713478,1.12780554177631,-0.258246109364956,-1.37641998816835,-0.191910005380954,1.2129082347986,0.799923480467135,0.684916330025486,"High"
"01113",34.88869599,0.912314635718891,58,17.74304836,1316.023256,-1208.71781718036,0.290696751864358,120.420147323551,59.3996691079266,1,32.28722368,"Southeastern Plains","White / red / jack pine group",1.07701604305679,1.85906144478785,1.01890150995922,-0.0672520954202222,-1.30606145427059,-0.131974711671611,0.829086645791708,1.2065909460593,1.67732451533521,"High"
"01115",54.36556376,0.858502148557397,57,15.95195833,1416.354167,-1363.3181979219,0.347635762318167,94.0833776500792,55.4520122133774,1,33.71767427,"Ridge and Valley","White / red / jack pine group",0.761342885174959,0.94342923526788,0.72049779864579,-0.407227881579048,-0.78743095107617,-0.0729295733770856,1.13948898931569,0.790738993847009,1.61116396964789,"High"
"01117",106.3521688,0.880116959064328,58,16.57741442,1449.286957,-1225.31483976463,0.306527533770521,122.214346505845,57.2532518232437,2,33.26516355,"Ridge and Valley","White / red / jack pine group",0.888139022087632,1.92143912367448,0.856653649801703,-0.103749973199813,-1.16186635287144,0.0846705253809734,1.24137598598397,0.935956225640524,1.67732451533521,"High"
"01119",5.380411743,0.87214301878253,66,17.4068176,1433.246377,-1238.80211708676,0.353601934475689,101.672613744556,55.142165834729,1,32.59240085,"Southeastern Plains","White / red / jack pine group",0.841362538741635,1.20727894424544,0.697076485245081,-0.133409329074227,-0.733087912032484,-0.221430611088967,1.19174986803231,1.12852551350266,2.20660888083372,"High"
"01121",42.04896594,0.858074074074074,51,16.48288545,1418.830357,-1339.39580127541,0.332781095037093,93.8884645989331,56.2023511077634,1,33.38079885,"Ridge and Valley","White / red / jack pine group",0.758831727800766,0.936652828369924,0.777215977760281,-0.354621053784163,-0.922735086244078,-0.11026798067069,1.14714979067142,0.914008665184774,1.214200695524,"High"
