"fips","pop_density","prop_hosts","treediversity_specrich_total","MEAN_MAT","MEAN_MAP","height_difference_NHminH","diameter_difference_NHminH","diameter_cv_t_difference_NHminH","height_cv_t_difference_NHminH","Total_pests","lat","US_L3NAME","broad_group","s_prop_hosts","s_diameter_cv_diff","s_height_cv_diff","s_height_mean_diff","s_diameter_mean_diff","s_pop_density","s_MEAN_MAP","s_MEAN_MAT","s_tree_div","temp_bin"
"01119",5.380411743,0.87214301878253,66,17.4068176,1433.246377,-1238.80211708676,0.500765689249835,76.3865888501498,28.4191216647157,1,32.59240085,"Southeastern Plains","White / red / jack pine group",0.752804192137686,1.16098612111785,0.702590997253399,-0.135994285509052,-0.805563444508847,-0.221093131568797,1.19043917874034,1.12639148153336,2.20796227046627,"High"
"01121",42.04896594,0.858074074074074,51,16.48288545,1418.830357,-1339.39580127541,0.477106660738901,71.0021010054787,29.3191789521918,2,33.38079885,"Ridge and Valley","White / red / jack pine group",0.667241408316338,0.948211358132869,0.827366367133824,-0.359733542959657,-0.995157927918724,-0.110054141430689,1.14569546469477,0.911798227215426,1.2128278050609,"High"
"01123",21.79655323,0.889546800273286,58,16.87484503,1453.99115,-1411.97816929536,0.447789039668014,83.2585800859389,28.9600251994029,2,32.866807,"Piedmont","White / red / jack pine group",0.858648377627485,1.43254143865412,0.777576711551076,-0.521170369294948,-1.23009822646786,-0.171382096798031,1.25482575638466,1.00283508726331,1.67722388891674,"High"
"01125",61.05090605,0.891803690222166,69,16.65688405,1465.458763,-1292.87746258833,0.480224203981236,61.090249575006,27.2240035880998,3,33.28839834,"Southeastern Plains","White / red / jack pine group",0.872374054343559,0.556532167892269,0.5369112098271,-0.256268015877815,-0.970175118490801,-0.0525128424434546,1.29041835384617,0.952211287655809,2.40698916354734,"High"
"01127",31.14179876,0.867445517861155,63,15.98290514,1474.534483,-1299.2162220769,0.482526028094098,68.4754877760284,28.1882425769665,2,33.80205275,"Southwestern Appalachians","White / red / jack pine group",0.724235506698571,0.848369080360241,0.670584119499713,-0.270366608175826,-0.951729172860498,-0.143083009229186,1.31858711474118,0.795672382024532,2.00893537738519,"High"
"01129",5.839055077,0.850732315363041,66,18.40539335,1569.074534,-1349.7614038472,0.524668446872128,59.7843018819293,26.7479273383505,0,31.40910343,"Southeastern Plains","White / red / jack pine group",0.622591199897859,0.504926013531613,0.470912532875848,-0.382788591009106,-0.61401580841822,-0.219704276901462,1.61201574537549,1.35832152085007,2.20796227046627,"High"
"01131",4.58874272,0.908256880733945,66,17.9485648,1424.761905,-1249.11727163578,0.510530939095973,60.7756254617747,26.8996842677764,0,31.98669741,"Southeastern Plains","White / red / jack pine group",0.972437052109459,0.544099403058674,0.491950668186249,-0.158937127675542,-0.72730843504845,-0.223490448036887,1.16410550349602,1.25221813954675,2.20796227046627,"High"
"01133",14.93521143,0.873144399460189,45,15.42131347,1496.72619,-1399.7518922789,0.484662595119359,61.8473923848879,25.7948592449092,1,34.15040226,"Southwestern Appalachians","White / red / jack pine group",0.758894266426905,0.586451611777324,0.338788249749561,-0.493976831617989,-0.934607534867724,-0.192159476248861,1.38746461298209,0.665236630802819,0.814774018898747,"High"
"04001",2.47259931,0.801867686768677,20,10.1943754,322.4777108,-465.699585271964,0.782734985052354,34.8648052417627,45.8044097649632,3,35.38331872,"Arizona/New Mexico Plateau","White / red / jack pine group",0.325412289924811,-0.479799023328461,3.11272175600662,1.58353102859553,1.45403157438295,-0.229898511631962,-2.25710845030173,-0.548776379307931,-0.843783423443541,"Low"
"04003",7.861754635,0.641702586206897,25,16.15491595,391.1753394,-135.549757739014,0.6434508116435,35.8563760080279,47.3568063525017,5,31.87962746,"Madrean Archipelago","Aspen / birch group",-0.648660190924113,-0.44061586592126,3.32793123334378,2.31784628760462,0.337861022729945,-0.213579178129733,-2.0438882237977,0.835623756696107,-0.512071934975083,"High"
"04005",2.950340147,0.910638950678837,23,11.00338252,342.638061,-402.181318426658,0.734725888964221,37.0656728784698,46.2895947709335,8,35.83526988,"Arizona/New Mexico Mountains","White / red / jack pine group",0.986924033184851,-0.392828989544261,3.17998318416543,1.72480759057,1.0693048825157,-0.228451826283987,-2.1945357745974,-0.360875708628619,-0.644756530362466,"Moderate"
"04007",4.370110882,0.930576347305389,25,14.52663756,523.7546898,-174.474689374906,0.671611469194875,44.0793601394488,48.4751218170048,3,33.8010486,"Arizona/New Mexico Mountains","White / red / jack pine group",1.10817684872068,-0.115674376579077,3.48296383812126,2.23126992477654,0.563529854333404,-0.224152504641932,-1.63239513883778,0.457438455269303,-0.512071934975083,"High"
"04009",3.199838015,0.824245155475439,30,15.41584362,421.7914831,-220.299429757719,0.693252524108325,62.3102523753054,53.8262648291071,2,32.93181453,"Chihuahuan Deserts","White / red / jack pine group",0.461504836814619,0.604742102460441,4.22479533919207,2.12934709066611,0.736953062512224,-0.227696301777744,-1.94886338484141,0.663966198864574,-0.180360446506626,"High"
"04011",1.983807532,0.913590968302215,30,12.63041488,434.8978102,-260.855808659856,0.697753195769569,41.2960853970039,40.8420512298612,1,33.2137815,"Arizona/New Mexico Mountains","White / red / jack pine group",1.0048772522059,-0.225658954635444,2.42478763191002,2.03914208253227,0.773019738631942,-0.231378661220771,-1.90818462940475,0.0170201888276897,-0.180360446506626,"Moderate"
